ID,Data,Produto,Categoria,Quantidade,Preço
1,,Geladeira,Eletrodomésticos,3.0,215.96
2,2023-07-23,Calça,Vestuário,-1.0,1849.26
3,2023-09-11,Fogão,Eletrodomésticos,3.0,379.91
4,2023-10-14,Geladeira,Eletrodomésticos,4.0,1966.35
5,2023-08-15,Fogão,Eletrodomésticos,2.0,
6,2023-11-03,Smartphone,Eletrônicos,10.0,1821.01
7,2023-12-26,Notebook,Eletrônicos,8.0,354.89
8,2023-07-11,Notebook,Eletrônicos,7.0,900.23
9,,Camisa,Vestuário,5.0,1003.3
10,2023-08-04,Sandália,Calçados,9.0,968.54
11,2023-01-17,Calça,Vestuário,-1.0,1722.23
12,2023-04-30,Notebook,Eletrônicos,8.0,132.86
13,2023-03-17,Notebook,Invalido,4.0,1361.3
14,2023-09-25,Camisa,Vestuário,7.0,1759.08
15,2023-09-21,Calça,Vestuário,4.0,522.19
16,,Geladeira,Eletrodomésticos,2.0,699.0
17,2023-03-15,Notebook,Eletrônicos,1.0,1339.75
18,2023-07-24,Calça,Vestuário,9.0,1124.86
19,2023-07-05,Tênis,Calçados,6.0,1205.56
20,,Camisa,Vestuário,9.0,921.19
21,2023-05-09,Sandália,Calçados,10.0,1588.98
22,2023-07-09,Camisa,Vestuário,9.0,691.9
23,2023-12-21,Sandália,Calçados,6.0,1956.24
24,2023-01-06,Smartphone,Eletrônicos,2.0,61.87
25,,Camisa,Vestuário,2.0,285.11
26,2023-01-08,Tênis,Calçados,3.0,338.69
27,2023-05-29,Tênis,Calçados,9.0,1048.84
28,2023-02-12,Smartphone,Eletrônicos,5.0,986.06
29,2023-09-15,Geladeira,Invalido,9.0,
30,2023-07-25,Smartphone,Eletrônicos,2.0,1610.65
31,2023-12-16,Geladeira,Eletrodomésticos,7.0,541.8
32,2023-07-22,Calça,Vestuário,5.0,305.47
33,2023-12-25,Calça,Vestuário,4.0,1763.72
34,2023-05-04,Notebook,Eletrônicos,-1.0,433.0
35,2023-04-16,Notebook,Eletrônicos,1.0,1336.37
36,2023-03-01,Fogão,Eletrodomésticos,5.0,
37,2023-09-13,Notebook,Eletrônicos,9.0,1438.32
38,2023-11-15,Tênis,Calçados,10.0,1660.46
39,2023-07-30,Camisa,Vestuário,10.0,483.14
40,2023-04-10,,Eletrônicos,,1917.33
41,2023-01-11,Camisa,Vestuário,6.0,1890.33
42,2023-09-30,Calça,Vestuário,2.0,1545.06
43,2023-06-12,Smartphone,Eletrônicos,10.0,818.88
44,2023-05-23,Tênis,Calçados,9.0,336.64
45,2023-04-07,Sandália,Calçados,8.0,869.17
46,2023-11-24,Tênis,Calçados,2.0,301.01
47,2023-01-30,Fogão,Eletrodomésticos,5.0,1120.67
48,2023-10-10,Calça,Vestuário,8.0,719.22
49,2023-05-02,Camisa,Vestuário,1.0,1922.22
50,2023-12-31,Sandália,Calçados,3.0,694.38
51,2023-04-10,Calça,Vestuário,1.0,1956.43
52,2023-09-25,Geladeira,Eletrodomésticos,10.0,1316.95
53,2023-08-21,Fogão,Eletrodomésticos,2.0,1824.61
54,2023-10-29,Smartphone,Eletrônicos,4.0,1894.31
55,2023-12-06,Sandália,Calçados,,561.09
56,2023-11-16,Smartphone,Eletrônicos,10.0,942.1
57,2023-11-28,Tênis,Calçados,4.0,234.01
58,2023-07-07,Sandália,Calçados,3.0,1041.09
59,2023-03-18,Geladeira,Eletrodomésticos,4.0,915.89
60,2023-10-17,Tênis,Calçados,3.0,1239.16
61,2023-06-28,Notebook,Invalido,6.0,1985.22
62,2023-04-23,Tênis,Calçados,8.0,181.9
63,2023-10-22,Fogão,Eletrodomésticos,10.0,1642.08
64,2023-02-19,Sandália,Calçados,7.0,1338.75
